Country,Continent,Quantity,Info
Italy,Europe,49843,"Relatively stable in terms of wine production, with -1% compared to 2021 and +2% with respect to its last five‐year average."
France,Europe,45590,"Recorded an increase in wine production not only compared to the low volume of 2021 (+21%) but also with respect to its last five‐year average (+7%)."
Spain,Europe,35703,"Due to drought and limited access to water in many regions, Spain’s 2022 wine production levells off at +1% compared to 2021, but it is 5% below its last five‐year average."
United States of America,America,22385,"Due to early frost damages, drought-like conditions in summer and consequent lack of water supply in certain wine regions, wine production is 7% lower than 2021 and 9% lower than its five‐year average."
Australia,Oceania,12745,"After a very low production in 2020 due to dry conditions, fires, and smoke damage in some wine regions, and a rebound in 2021, 2022 is in line with its last five‐year average."
Chile,America,12444,"The largest producer in South America in 2022, 7% below last year’s exceptionally high production (but 7% above its last five‐year average)."
Argentina,America,11451,"Due to extremely variable weather conditions, a decline of 8% compared to 2021 and 9% in comparison to its last five‐year average was recorded."
South Africa,Africa,10155,"A decrease of 6% compared to its 2021 level. The 2022 volume is back to the average production levels recorded before the beginning of the drought that, starting from 2015, heavily impacted the country’s wine production for several years in a row."
Germany,Europe,8940,"Due to the dry and hot growing season which has been beneficial for vineyards, Germany is the only country that has witnessed a rise in wine production level in 2022 among the other major EU countries"
Portugal,Europe,6777,"Portugal witnessed a significant decrease in production volume, experiencing an 8% decline compared to 2021. This decline is notable because Portugal is renowned for its rich history of winemaking and the unique flavors of its wines."
Russia,Europe,4700,"Increased wine production by 4% compared to 2021. Despite facing various challenges in the global wine industry, Russia managed to boost its wine production, showcasing its resilience and potential in the wine market."
China,Asia,4182,"Experienced a significant decline of 29% compared to the previous year. This marks a continuation of a decade-long trend of decreasing wine production in China."
New Zealand,Oceania,3830,"Experienced a remarkable 44% increase in wine production compared to 2021. The combination of excellent climatic conditions and high international demand contributed to New Zealand's historic high in wine production, showcasing the country's resilience and potential in the global wine industry."
Romania,Europe,3788,"Experienced a significant decline of 19% compared to 2021. This substantial reduction in wine production reflects the challenges faced by the country's vineyards during that year, highlighting the impact of adverse weather conditions and other factors on the wine industry in Romania."
